ID	y
1	1
2	0
3	1
4	0
5	1
6	0
7	1
8	0
9	1
10	0
11	1
12	0
13	1
14	0
15	1
16	0
17	1
18	0
19	1
20	0
21	1
22	0
23	1
24	0
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	0
40	1
41	1
42	0
43	0
44	1
45	1
46	1
47	1
48	0
49	1
50	0
51	0
52	1
53	1
54	0
55	0
56	1
57	1
58	1
59	1
60	0
61	1
62	0
63	1
64	0
65	1
66	0
67	1
68	0
69	1
70	0
71	1
72	0
73	1
74	0
75	1
76	0
77	1
78	0
79	1
80	0
81	1
82	0
83	1
84	0
85	1
86	0
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	0
102	1
103	1
104	0
105	0
106	1
107	1
108	1
109	1
110	0
111	1
112	0
113	0
114	1
115	1
116	0
117	0
118	1
119	1
120	1
121	1
122	0
123	1
124	0
125	1
126	0
127	1
128	0
129	1
130	0
131	1
132	0
133	1
134	0
135	1
136	0
137	1
138	0
139	1
140	0
141	1
142	0
143	1
144	0
145	1
146	0
147	1
148	0
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	0
164	1
165	1
166	0
167	0
168	1
169	1
170	1
171	1
172	0
173	1
174	0
175	0
176	1
177	1
178	0
179	0
180	1
181	1
182	1
183	1
184	0
185	1
186	0
187	1
188	0
189	1
190	0
191	1
192	0
193	1
194	0
195	1
196	0
197	1
198	0
199	1
200	0
201	1
202	0
203	1
204	0
205	1
206	0
207	1
208	0
209	1
210	0
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	0
226	1
227	1
228	0
229	0
230	1
231	1
232	1
233	1
234	0
235	1
236	0
237	0
238	1
239	1
240	0
241	0
242	1
243	1
244	1
245	1
246	0
247	1
248	0
249	1
250	0
251	1
252	0
253	1
254	0
255	1
256	0
257	1
258	0
259	1
260	0
261	1
262	0
263	1
264	0
265	1
266	0
267	1
268	0
269	1
270	0
271	1
272	0
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	0
288	1
289	1
290	0
291	0
292	1
293	1
294	1
295	1
296	0
297	1
298	0
299	0
300	1
301	1
302	0
303	0
304	1
305	1
306	1
307	1
308	0
309	1
310	0
311	1
312	0
313	1
314	0
315	1
316	0
317	1
318	0
319	1
320	0
321	1
322	0
323	1
324	0
325	1
326	0
327	1
328	0
329	1
330	0
331	1
332	0
333	1
334	0
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	0
350	1
351	1
352	0
353	0
354	1
355	1
356	1
357	1
358	0
359	1
360	0
361	0
362	1
363	1
364	0
365	0
366	1
367	1
368	1
369	1
370	0
371	1
372	0
373	1
374	0
375	1
376	0
377	1
378	0
379	1
380	0
381	1
382	0
383	1
384	0
385	1
386	0
387	1
388	0
389	1
390	0
391	1
392	0
393	1
394	0
395	1
396	0
397	1
398	1
399	1
400	1
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	1
409	1
410	1
411	0
412	1
413	1
414	0
415	0
416	1
417	1
418	1
419	1
420	0
421	1
422	0
423	0
424	1
425	1
426	0
427	0
428	1
429	1
430	1
431	1
432	0
433	1
434	0
435	1
436	0
437	1
438	0
439	1
440	0
441	1
442	0
443	1
444	0
445	1
446	0
447	1
448	0
449	1
450	0
451	1
452	0
453	1
454	0
455	1
456	0
457	1
458	0
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	0
474	1
475	1
476	0
477	0
478	1
479	1
480	1
481	1
482	0
483	1
484	0
485	0
486	1
487	1
488	0
489	0
490	1
491	1
492	1
493	1
494	0
495	1
496	0
497	1
498	0
499	1
500	0
501	1
502	0
503	1
504	0
505	1
506	0
507	1
508	0
509	1
510	0
511	1
512	0
513	1
514	0
515	1
516	0
517	1
518	0
519	1
520	0
521	1
522	1
523	1
524	1
525	1
526	1
527	1
528	1
529	1
530	1
531	1
532	1
533	1
534	1
535	0
536	1
537	1
538	0
539	0
540	1
541	1
542	1
543	1
544	0
545	1
546	0
547	0
548	1
549	1
550	0
551	0
552	1
553	1
554	1
555	1
556	0
557	1
558	0
559	1
560	0
561	1
562	0
563	1
564	0
565	1
566	0
567	1
568	0
569	1
570	0
571	1
572	0
573	1
574	0
575	1
576	0
577	1
578	0
579	1
580	0
581	1
582	0
583	1
584	1
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	1
596	1
597	0
598	1
599	1
600	0
601	0
602	1
603	1
604	1
605	1
606	0
607	1
608	0
609	0
610	1
611	1
612	0
613	0
614	1
615	1
616	1
617	1
618	0
619	1
620	0
621	1
622	0
623	1
624	0
625	1
626	0
627	1
628	0
629	1
630	0
631	1
632	0
633	1
634	0
635	1
636	0
637	1
638	0
639	1
640	0
641	1
642	0
643	1
644	0
645	1
646	1
647	1
648	1
649	1
650	1
651	1
652	1
653	1
654	1
655	1
656	1
657	1
658	1
659	0
660	1
661	1
662	0
663	0
664	1
665	1
666	1
667	1
668	0
669	1
670	0
671	0
672	1
673	1
674	0
675	0
676	1
677	1
678	1
679	1
680	0
681	1
682	0
683	1
684	0
685	1
686	0
687	1
688	0
689	1
690	0
691	1
692	0
693	1
694	0
695	1
696	0
697	1
698	0
699	1
700	0
701	1
702	0
703	1
704	0
705	1
706	0
707	1
708	1
709	1
710	1
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	1
719	1
720	1
721	0
722	1
723	1
724	0
725	0
726	1
727	1
728	1
729	1
730	0
731	1
732	0
733	0
734	1
735	1
736	0
737	0
738	1
739	1
740	1
741	1
742	0
743	1
744	0
745	1
746	0
747	1
748	0
749	1
750	0
751	1
752	0
753	1
754	0
755	1
756	0
757	1
758	0
759	1
760	0
761	1
762	0
763	1
764	0
765	1
766	0
767	1
768	0
769	1
770	1
771	1
772	1
773	1
774	1
775	1
776	1
777	1
778	1
779	1
780	1
781	1
782	1
783	0
784	1
785	1
786	0
787	0
788	1
789	1
790	1
791	1
792	0
793	1
794	0
795	0
796	1
797	1
798	0
799	0
800	1
801	1
802	1
803	1
804	0
805	1
806	0
807	1
808	0
809	1
810	0
811	1
812	0
813	1
814	0
815	1
816	0
817	1
818	0
819	1
820	0
821	1
822	0
823	1
824	0
825	1
826	0
827	1
828	0
829	1
830	0
831	1
832	1
833	1
834	1
835	1
836	1
837	1
838	1
839	1
840	1
841	1
842	1
843	1
844	1
